column,role,dtype,missing_pct
signal_id,metadata,int64,0.0
ticker,metadata,object,0.0
signal_date,metadata,object,0.0
entry_date,metadata,object,0.0
signal_year,metadata,int64,0.0
signal_month,metadata,int64,0.0
entry_execution_mode,metadata,object,0.0
target_combo_positive,target,int64,0.0
target_combo_ge_2pct,target,int64,0.0
target_core_positive,target,int64,0.0
outcome_ret_combo,outcome_no_predictor,float64,0.0
outcome_ret_core,outcome_no_predictor,float64,0.0
outcome_ret_tactical,outcome_no_predictor,float64,0.0
outcome_mfe,outcome_no_predictor,float64,0.0
outcome_mae,outcome_no_predictor,float64,0.0
outcome_duration_core_bars,outcome_no_predictor,int64,0.0
outcome_negative_diagnosis,outcome_no_predictor,object,0.0
feat_entry_family,feature_candidate,object,0.0
feat_tk_confirmation_status,feature_candidate,object,0.0
feat_chikou_diagnostic_status,feature_candidate,object,0.0
feat_technical_priority_score,feature_candidate,float64,0.0
feat_kumo_actual_thickness_pct_signal,feature_candidate,float64,0.0
feat_volume_rel_signal,feature_candidate,float64,0.0
feat_stoch_k_entry,feature_candidate,float64,0.0
feat_stoch_d_entry,feature_candidate,float64,0.0
feat_stoch_k_minus_d_entry,feature_candidate,float64,0.0
feat_row_operational_ok,feature_candidate,Int64,0.0
feat_liquidity_ok,feature_candidate,Int64,0.0
feat_precio_sobre_kumo_actual,feature_candidate,Int64,0.0
feat_precio_dentro_kumo_actual,feature_candidate,Int64,0.0
feat_precio_bajo_kumo_actual,feature_candidate,Int64,0.0
feat_kumo_actual_alcista,feature_candidate,Int64,0.0
feat_kumo_futuro_alcista,feature_candidate,Int64,0.0
feat_kumo_alcista_requerido,feature_candidate,Int64,0.0
feat_ha_bullish,feature_candidate,Int64,0.0
feat_ha_bullish_prev1,feature_candidate,Int64,0.0
feat_ha2_bullish,feature_candidate,Int64,0.0
feat_ha2_bullish_sobre_kumo,feature_candidate,Int64,0.0
feat_stoch_cross_up_from_below,feature_candidate,Int64,0.0
feat_stoch_not_extreme_overbought,feature_candidate,Int64,0.0
feat_tenkan_sobre_kijun,feature_candidate,Int64,0.0
feat_tk_cross_up_today,feature_candidate,Int64,0.0
feat_tk_cross_up_recent,feature_candidate,Int64,0.0
feat_chikou_above_close_22ago,feature_candidate,Int64,0.0
feat_chikou_above_high_22ago,feature_candidate,Int64,0.0
feat_chikou_above_kumo_22ago,feature_candidate,Int64,0.0
feat_entry_condition_base,feature_candidate,Int64,0.0
feat_entry_event_new_condition,feature_candidate,Int64,0.0
feat_entry_event_after_cooldown,feature_candidate,Int64,0.0
feat_dollar_volume_ma20,feature_candidate,float64,0.0
feat_kumo_actual_thickness_abs,feature_candidate,float64,0.0
feat_kumo_actual_thickness_pct_daily,feature_candidate,float64,0.0
feat_volume_rel_daily,feature_candidate,float64,0.0
feat_stoch_k_daily,feature_candidate,float64,0.0
feat_stoch_d_daily,feature_candidate,float64,0.0
feat_ret_5d_prior,feature_candidate,float64,0.0
feat_ret_10d_prior,feature_candidate,float64,0.0
feat_ret_20d_prior,feature_candidate,float64,0.0
feat_volatility_20d_prior,feature_candidate,float64,0.0
feat_dist_close_to_kijun_pct,feature_candidate,float64,0.0
feat_dist_close_to_tenkan_pct,feature_candidate,float64,0.0
feat_dist_close_to_kumo_top_pct,feature_candidate,float64,0.0
feat_dist_close_to_kumo_bottom_pct,feature_candidate,float64,0.0
feat_stoch_k_minus_d_daily,feature_candidate,float64,0.0
feat_senkou_a_minus_b_pct,feature_candidate,float64,0.0
feat_regime_breadth_precio_sobre_kumo,feature_candidate,float64,0.0
feat_regime_breadth_kumo_actual_alcista,feature_candidate,float64,0.0
feat_regime_breadth_kumo_futuro_alcista,feature_candidate,float64,0.0
feat_regime_breadth_ha2_bullish,feature_candidate,float64,0.0
feat_regime_breadth_tenkan_sobre_kijun,feature_candidate,float64,0.0
feat_regime_breadth_chikou_sobre_kumo,feature_candidate,float64,0.0
feat_regime_breadth_entry_events,feature_candidate,float64,0.0
feat_regime_market_ret_5d_mean,feature_candidate,float64,0.0
feat_regime_market_ret_20d_mean,feature_candidate,float64,0.0
feat_regime_market_vol_20d_mean,feature_candidate,float64,0.0
feat_regime_market_volume_rel_mean,feature_candidate,float64,0.0
