model,feature,importance
RandomForest,num__feat_regime_market_vol_20d_mean,0.21577748947583378
RandomForest,num__feat_regime_breadth_kumo_actual_alcista,0.06984886292405758
RandomForest,num__feat_regime_breadth_chikou_sobre_kumo,0.06448668946278989
RandomForest,num__feat_regime_breadth_kumo_futuro_alcista,0.05044373460679977
RandomForest,num__feat_regime_breadth_precio_sobre_kumo,0.0491403071003789
RandomForest,num__feat_regime_market_ret_5d_mean,0.043016805086436814
RandomForest,num__feat_regime_market_volume_rel_mean,0.041713744687588705
RandomForest,num__feat_regime_market_ret_20d_mean,0.04081134507016227
RandomForest,num__feat_regime_breadth_entry_events,0.03736225233602025
RandomForest,num__feat_regime_breadth_tenkan_sobre_kijun,0.03553510163283382
RandomForest,num__feat_dist_close_to_kijun_pct,0.03067891227342857
RandomForest,num__feat_dist_close_to_kumo_bottom_pct,0.0274533413286616
RandomForest,num__feat_dist_close_to_kumo_top_pct,0.024062378476045216
RandomForest,num__feat_volatility_20d_prior,0.023672072750352022
RandomForest,num__feat_ret_20d_prior,0.016475954964255426
RandomForest,num__feat_stoch_k_daily,0.016129650460035453
RandomForest,num__feat_stoch_k_entry,0.015577662866921652
RandomForest,num__feat_regime_breadth_ha2_bullish,0.015069724399531033
RandomForest,num__feat_kumo_actual_thickness_pct_daily,0.014921450227618448
RandomForest,num__feat_ret_10d_prior,0.014688367528225105
RandomForest,num__feat_stoch_d_entry,0.014083119721931409
RandomForest,num__feat_dollar_volume_ma20,0.014067771966429424
RandomForest,num__feat_senkou_a_minus_b_pct,0.014036717983594016
RandomForest,num__feat_kumo_actual_thickness_pct_signal,0.013518119526474241
RandomForest,num__feat_stoch_d_daily,0.013335604033546033
RandomForest,num__feat_ret_5d_prior,0.012745598581289716
RandomForest,num__feat_dist_close_to_tenkan_pct,0.011410070939067677
RandomForest,num__feat_volume_rel_signal,0.010355520442170911
RandomForest,num__feat_kumo_actual_thickness_abs,0.010314850135137166
RandomForest,num__feat_volume_rel_daily,0.009225148563472079
RandomForest,num__feat_stoch_k_minus_d_daily,0.00896528462696911
RandomForest,num__feat_stoch_k_minus_d_entry,0.00846562113775439
RandomForest,num__feat_technical_priority_score,0.0030582081984538655
RandomForest,num__feat_chikou_above_close_22ago,0.0017847798678699994
RandomForest,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.001654638008737351
RandomForest,num__feat_chikou_above_high_22ago,0.001027358423395461
RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.0009008362341856151
RandomForest,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.0005752163036239545
RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.000556553323074867
RandomForest,num__feat_tk_cross_up_recent,0.0005542650168269243
RandomForest,num__feat_tenkan_sobre_kijun,0.00047590284728157915
RandomForest,num__feat_stoch_not_extreme_overbought,0.00047348699803840985
RandomForest,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0004431055109178766
RandomForest,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0004085514606378992
RandomForest,num__feat_tk_cross_up_today,0.00026919079023841327
RandomForest,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.00025949462654234864
RandomForest,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.00016913707436302963
RandomForest,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0
RandomForest,num__feat_chikou_above_kumo_22ago,0.0
XGBoost,num__feat_regime_market_vol_20d_mean,0.05983473608891169
XGBoost,num__feat_regime_breadth_kumo_actual_alcista,0.03777196258306503
XGBoost,num__feat_regime_breadth_chikou_sobre_kumo,0.03566146269440651
XGBoost,num__feat_regime_breadth_precio_sobre_kumo,0.034215537210305534
XGBoost,num__feat_regime_breadth_kumo_futuro_alcista,0.03366206834713618
XGBoost,num__feat_chikou_above_close_22ago,0.031147011866172154
XGBoost,num__feat_regime_market_ret_20d_mean,0.02932757077117761
XGBoost,num__feat_regime_breadth_tenkan_sobre_kijun,0.028202703222632408
XGBoost,num__feat_regime_market_volume_rel_mean,0.02817455182472865
XGBoost,num__feat_regime_breadth_entry_events,0.02656935217479865
XGBoost,num__feat_stoch_k_entry,0.02648043818771839
XGBoost,num__feat_dist_close_to_kijun_pct,0.026039185002446175
XGBoost,num__feat_regime_market_ret_5d_mean,0.025496109078327816
XGBoost,num__feat_dist_close_to_kumo_bottom_pct,0.02531205179790656
XGBoost,num__feat_volatility_20d_prior,0.024990392848849297
XGBoost,num__feat_chikou_above_high_22ago,0.024496699993809063
XGBoost,num__feat_dist_close_to_kumo_top_pct,0.023447830850879352
