column,reason
signal_id,metadata_no_predictor
ticker,metadata_no_predictor
signal_date,metadata_no_predictor
entry_date,metadata_no_predictor
signal_year,metadata_no_predictor
signal_month,metadata_no_predictor
entry_execution_mode,metadata_no_predictor
target_combo_positive,target_label
target_combo_ge_2pct,target_label
target_core_positive,target_label
outcome_ret_combo,future_outcome_leakage
outcome_ret_core,future_outcome_leakage
outcome_ret_tactical,future_outcome_leakage
outcome_mfe,future_outcome_leakage
outcome_mae,future_outcome_leakage
outcome_duration_core_bars,future_outcome_leakage
outcome_negative_diagnosis,future_outcome_leakage
