fold,model,train_years,validation_year,test_year,n_train,n_validation,n_test,validation_best_f1,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,threshold
1,Dummy_most_frequent,"2018,2019,2020,2021",2022,2023,4423,472,907,0.49201277955271566,0.45093715545755236,0.45093715545755236,1.0,0.621580547112462,0.5,0.45093715545755236,0.5490628445424476,0.05
1,LogisticRegression,"2018,2019,2020,2021",2022,2023,4423,472,907,0.5147679324894515,0.5060639470782801,0.40930232558139534,0.21515892420537897,0.28205128205128205,0.4720642963050245,0.4295336187195504,0.2555210627661171,0.5299999999999999
1,RandomForest,"2018,2019,2020,2021",2022,2023,4423,472,907,0.4935897435897436,0.45093715545755236,0.4506104328523862,0.9926650366748166,0.6198473282442748,0.5933121238008268,0.5310146521955728,0.2506280781740081,0.4099999999999999
1,XGBoost,"2018,2019,2020,2021",2022,2023,4423,472,907,0.4943820224719101,0.4564498346196251,0.452914798206278,0.9877750611246944,0.6210607225211375,0.5162557319743522,0.46439451544322236,0.26298046938460506,0.22999999999999998
2,Dummy_most_frequent,"2018,2019,2020,2021,2022",2023,2024,4895,907,1429,0.0,0.4191742477256823,0.0,0.0,0.0,0.5,0.5808257522743177,0.5808257522743177,0.05
2,LogisticRegression,"2018,2019,2020,2021,2022",2023,2024,4895,907,1429,0.6220532319391635,0.5815255423372988,0.5812324929971989,1.0,0.7351638618246236,0.5376712191001065,0.6138577289498212,0.25221983550758786,0.10999999999999999
2,RandomForest,"2018,2019,2020,2021,2022",2023,2024,4895,907,1429,0.6220532319391635,0.5808257522743177,0.5808257522743177,1.0,0.734838424081452,0.5561457851439146,0.6187840512601228,0.24442055059036547,0.36999999999999994
2,XGBoost,"2018,2019,2020,2021,2022",2023,2024,4895,907,1429,0.6220532319391635,0.5808257522743177,0.5808257522743177,1.0,0.734838424081452,0.5377034012510812,0.6072762531227517,0.25063218555491634,0.13
3,Dummy_most_frequent,"2018,2019,2020,2021,2022,2023",2024,2025,5802,1429,924,0.0,0.5086580086580087,0.0,0.0,0.0,0.5,0.49134199134199136,0.49134199134199136,0.05
3,LogisticRegression,"2018,2019,2020,2021,2022,2023",2024,2025,5802,1429,924,0.7351638618246236,0.49242424242424243,0.49187432286023836,1.0,0.6594045025417574,0.5722466960352423,0.5470511623134733,0.24655621847096246,0.16999999999999998
3,RandomForest,"2018,2019,2020,2021,2022,2023",2024,2025,5802,1429,924,0.7351638618246236,0.49567099567099565,0.4934782608695652,1.0,0.660844250363901,0.570653294591808,0.5588513481771327,0.2468359164844758,0.36999999999999994
3,XGBoost,"2018,2019,2020,2021,2022,2023",2024,2025,5802,1429,924,0.7351638618246236,0.4935064935064935,0.4924078091106291,1.0,0.6598837209302325,0.49759115193551406,0.5105636855683194,0.2600144165685162,0.19
