feature_transformed,importance,fold,model
num__feat_technical_priority_score,0.0013252687344421147,1,RandomForest
num__feat_kumo_actual_thickness_pct_signal,0.009763487116555837,1,RandomForest
num__feat_volume_rel_signal,0.009485977065598204,1,RandomForest
num__feat_stoch_k_entry,0.015135863658608162,1,RandomForest
num__feat_stoch_d_entry,0.01275138202181842,1,RandomForest
num__feat_stoch_k_minus_d_entry,0.007153612424760307,1,RandomForest
num__feat_stoch_not_extreme_overbought,0.0005658516254304824,1,RandomForest
num__feat_tenkan_sobre_kijun,0.0003922224085116966,1,RandomForest
num__feat_tk_cross_up_today,0.0001791373985483088,1,RandomForest
num__feat_tk_cross_up_recent,0.0006293816417224963,1,RandomForest
num__feat_chikou_above_close_22ago,0.000253726937406011,1,RandomForest
num__feat_chikou_above_high_22ago,0.000860520432999756,1,RandomForest
num__feat_chikou_above_kumo_22ago,0.0,1,RandomForest
num__feat_dollar_volume_ma20,0.013268853865035362,1,RandomForest
num__feat_kumo_actual_thickness_abs,0.010500417497397602,1,RandomForest
num__feat_kumo_actual_thickness_pct_daily,0.011831022124224924,1,RandomForest
num__feat_volume_rel_daily,0.008897295510910622,1,RandomForest
num__feat_stoch_k_daily,0.014445787517766347,1,RandomForest
num__feat_stoch_d_daily,0.01480742800932747,1,RandomForest
num__feat_ret_5d_prior,0.013555665364171616,1,RandomForest
num__feat_ret_10d_prior,0.013801402310896804,1,RandomForest
num__feat_ret_20d_prior,0.017198675992954365,1,RandomForest
num__feat_volatility_20d_prior,0.02538178698663493,1,RandomForest
num__feat_dist_close_to_kijun_pct,0.03235534921285909,1,RandomForest
num__feat_dist_close_to_tenkan_pct,0.011692547518634959,1,RandomForest
num__feat_dist_close_to_kumo_top_pct,0.01695362350384767,1,RandomForest
num__feat_dist_close_to_kumo_bottom_pct,0.021076354681152213,1,RandomForest
num__feat_stoch_k_minus_d_daily,0.008690756756839273,1,RandomForest
num__feat_senkou_a_minus_b_pct,0.01327427415370698,1,RandomForest
num__feat_regime_breadth_precio_sobre_kumo,0.06362593412607706,1,RandomForest
num__feat_regime_breadth_kumo_actual_alcista,0.05666565335793691,1,RandomForest
num__feat_regime_breadth_kumo_futuro_alcista,0.056481721368592426,1,RandomForest
num__feat_regime_breadth_ha2_bullish,0.01530593767422053,1,RandomForest
num__feat_regime_breadth_tenkan_sobre_kijun,0.036041276545514395,1,RandomForest
num__feat_regime_breadth_chikou_sobre_kumo,0.06473602040174763,1,RandomForest
num__feat_regime_breadth_entry_events,0.03914777861631305,1,RandomForest
num__feat_regime_market_ret_5d_mean,0.03643588360634278,1,RandomForest
num__feat_regime_market_ret_20d_mean,0.05234790633669492,1,RandomForest
num__feat_regime_market_vol_20d_mean,0.23569206694074699,1,RandomForest
