strategy,strategy_type,selected_by_model,selection_detail,n_signals,n_entry_days,success_rate,mean_return,median_return,sum_return_signal_level,equal_signal_compounded_return,daily_proxy_compounded_return,daily_proxy_max_drawdown,daily_proxy_mean_return,daily_proxy_volatility,daily_proxy_sharpe_like,best_signal_return,worst_signal_return,success_lift_vs_baseline,mean_return_delta_vs_baseline,daily_proxy_return_delta_vs_baseline
RandomForest_TOP_10,ranking_top_fraction,RandomForest,Top 10% de señales por score dentro de cada fold,327,110,0.6574923547400612,0.06667401046229562,0.0402339547874533,21.80240142117067,42435847.704185985,876.627778369876,-0.6506618518601589,0.07519474500740646,0.16209920352068058,7.363883012409682,0.9942277781665334,-0.3079248912407684,1.2660514332265798,0.043838704593807155,-113539.4039745206
RandomForest_TOP_20,ranking_top_fraction,RandomForest,Top 20% de señales por score dentro de cada fold,653,214,0.6003062787136294,0.05355285730918465,0.0285073729169579,34.97001582289758,866063478243.8625,6650.896377689529,-0.6586476489189257,0.051331055526953585,0.15294854761986765,5.327642906278587,1.304679001101138,-0.3079248912407684,1.1559353033706037,0.030717551440696184,-107765.13537520095
XGBoost_TOP_10,ranking_top_fraction,XGBoost,Top 10% de señales por score dentro de cada fold,327,117,0.6085626911314985,0.05003838599634363,0.0253945270614217,16.362552220804368,436090.9073136005,99.51782571690282,-0.5893527214338667,0.04728230048625336,0.1275594194895556,5.88418522139312,1.0318414134346243,-0.2482623775312371,1.171833652149253,0.02720308012785516,-114316.51392717357
RandomForest_TOP_30,ranking_top_fraction,RandomForest,Top 30% de señales por score dentro de cada fold,980,296,0.5948979591836735,0.049089954513903064,0.02626331263346965,48.108155423625,2.1739151447649416e+16,652901.3986712134,-0.750573263202771,0.054564690570957676,0.1406335914752563,6.159180040908439,1.304679001101138,-0.3079248912407684,1.1455211736200683,0.026254648645414595,538485.366918323
LogisticRegression_TOP_10,ranking_top_fraction,LogisticRegression,Top 10% de señales por score dentro de cada fold,327,174,0.5596330275229358,0.0484530272039397,0.0177340476341052,15.844139895688283,151730.2898339937,1737.4513043524908,-0.6590125499894608,0.05439352214953523,0.15723744661604275,5.491506087298821,0.9942277781665334,-0.3079248912407684,1.077615871071926,0.025617721335451232,-112678.58044853798
XGBoost_TOP_20,ranking_top_fraction,XGBoost,Top 20% de señales por score dentro de cada fold,653,202,0.5482388973966309,0.03555451309575884,0.0136155221009655,23.217097051530523,48904705.38716454,671.0657748392103,-0.6543072676176513,0.03968641722126348,0.12403034168041041,5.0794211628555805,1.0318414134346243,-0.3079248912407684,1.0556756086905001,0.012719207227270372,-113744.96597805126
XGBoost_TOP_30,ranking_top_fraction,XGBoost,Top 30% de señales por score dentro de cada fold,980,261,0.5561224489795918,0.03207356901448484,0.0142148369551109,31.432097634195145,27746793451.41173,1157.8210090272785,-0.7052810759956991,0.032106511581542076,0.10023591311435305,5.084755102514956,1.0318414134346243,-0.3079248912407684,1.0708559856311102,0.009238263145996371,-113258.2107438632
RandomForest_THRESHOLD_0_50,threshold_fixed_0_50,RandomForest,"Señales con score >= 0,50",2350,510,0.5468085106382978,0.030515752103675246,0.01026837283087155,71.71201744363682,2.8456702323327068e+23,1316598.8775093046,-0.8996123106903908,0.03288143345830602,0.10643011478158924,4.904406757083301,1.304679001101138,-0.3108183561888536,1.0529212904198766,0.007680446235186777,1202182.845756414
XGBoost_THRESHOLD_0_50,threshold_fixed_0_50,XGBoost,"Señales con score >= 0,50",1836,409,0.5430283224400871,0.028102355027762982,0.0093898568160856,51.595923830972836,7.735289328269328e+16,74459.5739774692,-0.8375134027151385,0.03212179192462869,0.0976793942062468,5.220319420832072,1.0318414134346243,-0.3079248912407684,1.045642251125035,0.005267049159274513,-39956.457775421266
BASELINE_TECNICO_ALL,baseline,N/A,Todas las señales V4 de los años de test,3260,592,0.5193251533742331,0.02283530586848847,0.00441114240844675,74.44309713127241,2.4088537740111755e+23,114416.03175289047,-0.9187612271332322,0.023077272849106517,0.08305304051433288,4.410920384241584,1.304679001101138,-0.3108183561888536,1.0,0.0,0.0
