strategy,strategy_type,selected_by_model,test_year,n_signals,success_rate,mean_return,median_return,sum_return_signal_level
BASELINE_TECNICO_ALL,baseline,N/A,2023,907,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053
BASELINE_TECNICO_ALL,baseline,N/A,2024,1429,0.5808257522743177,0.029428245470887814,0.0165764175856351,42.052962777898685
BASELINE_TECNICO_ALL,baseline,N/A,2025,924,0.49134199134199136,0.026837953529961774,-0.0024169809754498502,24.798269061684678
Dummy_THRESHOLD_0_50,threshold_fixed_0_50,Dummy,2023,907,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053
Dummy_THRESHOLD_OPT_F1,threshold_optimized_f1,Dummy,2023,907,0.45093715545755236,0.008370303518951546,-0.0128650839032928,7.591865291689053
Dummy_TOP_10,ranking_top_fraction,Dummy,2023,91,0.27472527472527475,-0.031512365214796764,-0.0471796845243855,-2.8676252345465056
Dummy_TOP_10,ranking_top_fraction,Dummy,2024,143,0.5594405594405595,0.01636598045030283,0.0137764896284877,2.3403352043933046
Dummy_TOP_10,ranking_top_fraction,Dummy,2025,93,0.5591397849462365,0.05483296289699656,0.0091475672163821,5.09946554942068
Dummy_TOP_20,ranking_top_fraction,Dummy,2023,182,0.2692307692307692,-0.02992466575206437,-0.03897572052073285,-5.446289166875715
Dummy_TOP_20,ranking_top_fraction,Dummy,2024,286,0.5699300699300699,0.0146855670651156,0.01444320041628655,4.200072180623062
Dummy_TOP_20,ranking_top_fraction,Dummy,2025,185,0.5243243243243243,0.04827189082540917,0.0021315995463854,8.930299802700697
Dummy_TOP_30,ranking_top_fraction,Dummy,2023,273,0.326007326007326,-0.018569522521334116,-0.0376148974236019,-5.069479648324214
Dummy_TOP_30,ranking_top_fraction,Dummy,2024,429,0.5641025641025641,0.016104005745512812,0.0137764896284877,6.908618464824997
Dummy_TOP_30,ranking_top_fraction,Dummy,2025,278,0.5035971223021583,0.0441145226971457,0.00122174375732405,12.263837309806505
LogisticRegression_THRESHOLD_0_50,threshold_fixed_0_50,LogisticRegression,2023,355,0.4140845070422535,-0.001431633806277307,-0.0254064392749114,-0.508230001228444
LogisticRegression_THRESHOLD_0_50,threshold_fixed_0_50,LogisticRegression,2024,742,0.6145552560646901,0.03593443558830116,0.02256788872098325,26.663351206519458
LogisticRegression_THRESHOLD_0_50,threshold_fixed_0_50,LogisticRegression,2025,516,0.5465116279069767,0.048833869776501324,0.01257154600279865,25.198276804674684
LogisticRegression_THRESHOLD_OPT_F1,threshold_optimized_f1,LogisticRegression,2023,260,0.4346153846153846,0.001497626610272995,-0.0210774614072855,0.38938291867097874
LogisticRegression_THRESHOLD_OPT_F1,threshold_optimized_f1,LogisticRegression,2024,1426,0.5813464235624124,0.029540192264305674,0.01667358621430665,42.12431416889989
LogisticRegression_THRESHOLD_OPT_F1,threshold_optimized_f1,LogisticRegression,2025,923,0.49187432286023836,0.026884732168870495,-0.0021903632938838,24.814607791867466
LogisticRegression_TOP_10,ranking_top_fraction,LogisticRegression,2023,91,0.38461538461538464,-0.011782700782898198,-0.0296282101908897,-1.072225771243736
LogisticRegression_TOP_10,ranking_top_fraction,LogisticRegression,2024,143,0.6363636363636364,0.039644160308847966,0.0328902965247651,5.669114924165259
LogisticRegression_TOP_10,ranking_top_fraction,LogisticRegression,2025,93,0.6129032258064516,0.12093818002975013,0.0701403548943716,11.247250742766761
LogisticRegression_TOP_20,ranking_top_fraction,LogisticRegression,2023,182,0.3956043956043956,-0.004215558841016014,-0.0291757512279609,-0.7672317090649146
LogisticRegression_TOP_20,ranking_top_fraction,LogisticRegression,2024,286,0.6153846153846154,0.03885425249961489,0.0272375613278161,11.112316214889859
LogisticRegression_TOP_20,ranking_top_fraction,LogisticRegression,2025,185,0.5513513513513514,0.08098100500133171,0.0155914631699878,14.981485925246366
LogisticRegression_TOP_30,ranking_top_fraction,LogisticRegression,2023,273,0.4249084249084249,-0.000992796629875595,-0.0257519536303032,-0.27103347995603744
LogisticRegression_TOP_30,ranking_top_fraction,LogisticRegression,2024,429,0.6503496503496503,0.039712832175233415,0.0313488277844349,17.036805003175136
LogisticRegression_TOP_30,ranking_top_fraction,LogisticRegression,2025,278,0.5467625899280576,0.06108081207404989,0.01414170416085855,16.98046575658587
RandomForest_THRESHOLD_0_50,threshold_fixed_0_50,RandomForest,2023,764,0.47643979057591623,0.012321184683758628,-0.0049527286937631,9.413385098391592
RandomForest_THRESHOLD_0_50,threshold_fixed_0_50,RandomForest,2024,1006,0.6093439363817097,0.03747328815917749,0.02214545786689195,37.698127888132554
RandomForest_THRESHOLD_0_50,threshold_fixed_0_50,RandomForest,2025,580,0.5310344827586206,0.042414662857090814,0.0079580248994701,24.60050445711267
RandomForest_THRESHOLD_OPT_F1,threshold_optimized_f1,RandomForest,2023,895,0.45251396648044695,0.008550304862333396,-0.0127370395583684,7.652522851788389
RandomForest_THRESHOLD_OPT_F1,threshold_optimized_f1,RandomForest,2024,1429,0.5808257522743177,0.029428245470887814,0.0165764175856351,42.052962777898685
RandomForest_THRESHOLD_OPT_F1,threshold_optimized_f1,RandomForest,2025,920,0.4934782608695652,0.027054590734173066,-0.00175172087635805,24.89022347543922
