ticker,company_name,name_source
A,"Agilent Technologies, Inc.",yfinance
AAPL,Apple Inc.,yfinance
ABBV,AbbVie Inc.,yfinance
ABNB,"Airbnb, Inc.",yfinance
ACGL,Arch Capital Group Ltd.,yfinance
ACN,Accenture plc,yfinance
ADBE,Adobe Inc.,yfinance
ADI,"Analog Devices, Inc.",yfinance
ADM,Archer-Daniels-Midland Company,yfinance
ADP,"Automatic Data Processing, Inc.",yfinance
ADSK,"Autodesk, Inc.",yfinance
AEP,American Electric Power Company,yfinance
AES,The AES Corporation,yfinance
AIG,"American International Group, I",yfinance
AIZ,"Assurant, Inc.",yfinance
AKAM,"Akamai Technologies, Inc.",yfinance
ALB,Albemarle Corporation,yfinance
ALGN,"Align Technology, Inc.",yfinance
ALL,Allstate Corporation (The),yfinance
ALLE,Allegion plc,yfinance
AMAT,"Applied Materials, Inc.",yfinance
AMCR,Amcor plc,yfinance
AMD,"Advanced Micro Devices, Inc.",yfinance
AME,"AMETEK, Inc.",yfinance
AMGN,Amgen Inc.,yfinance
AMP,"Ameriprise Financial, Inc.",yfinance
AMT,American Tower Corporation (REI,yfinance
AMZN,"Amazon.com, Inc.",yfinance
ANET,"Arista Networks, Inc.",yfinance
AOS,A.O. Smith Corporation,yfinance
APH,Amphenol Corporation,yfinance
APO,"Apollo Global Management, Inc.",yfinance
APP,Applovin Corporation,yfinance
APTV,Aptiv PLC,yfinance
ARES,Ares Management Corporation,yfinance
AVGO,Broadcom Inc.,yfinance
AXON,"Axon Enterprise, Inc.",yfinance
AXP,American Express Company,yfinance
BA,Boeing Company (The),yfinance
BAC,Bank of America Corporation,yfinance
BALL,Ball Corporation,yfinance
BAX,Baxter International Inc.,yfinance
BBY,"Best Buy Co., Inc.",yfinance
BDX,"Becton, Dickinson and Company",yfinance
BEN,"Franklin Resources, Inc.",yfinance
BIIB,Biogen Inc.,yfinance
BK,The Bank of New York Mellon Cor,yfinance
BKNG,Booking Holdings Inc. Common St,yfinance
BKR,Baker Hughes Company,yfinance
BLDR,"Builders FirstSource, Inc.",yfinance
BLK,"BlackRock, Inc.",yfinance
BR,"Broadridge Financial Solutions,",yfinance
BRK-B,Berkshire Hathaway Inc. New,yfinance
BRO,"Brown & Brown, Inc.",yfinance
BSX,Boston Scientific Corporation,yfinance
BX,Blackstone Inc.,yfinance
C,"Citigroup, Inc.",yfinance
CAH,"Cardinal Health, Inc.",yfinance
CAT,"Caterpillar, Inc.",yfinance
CB,Chubb Limited,yfinance
CCI,Crown Castle Inc.,yfinance
CCL,Carnival Corporation Ltd.,yfinance
CDNS,"Cadence Design Systems, Inc.",yfinance
CDW,CDW Corporation,yfinance
CEG,Constellation Energy Corporatio,yfinance
CFG,"Citizens Financial Group, Inc.",yfinance
CHD,"Church & Dwight Company, Inc.",yfinance
CHRW,"C.H. Robinson Worldwide, Inc.",yfinance
CHTR,"Charter Communications, Inc.",yfinance
CIEN,Ciena Corporation,yfinance
CL,Colgate-Palmolive Company,yfinance
CLX,Clorox Company (The),yfinance
CMCSA,Comcast Corporation,yfinance
CMG,"Chipotle Mexican Grill, Inc.",yfinance
CMI,Cummins Inc.,yfinance
CMS,CMS Energy Corporation,yfinance
CNP,"CenterPoint Energy, Inc (Holdin",yfinance
COF,Capital One Financial Corporati,yfinance
COHR,Coherent Corp.,yfinance
COIN,"Coinbase Global, Inc.",yfinance
COO,"The Cooper Companies, Inc.",yfinance
COR,"Cencora, Inc.",yfinance
COST,Costco Wholesale Corporation,yfinance
CPAY,"Corpay, Inc.",yfinance
CPRT,"Copart, Inc.",yfinance
CPT,Camden Property Trust,yfinance
CRH,CRH PLC,yfinance
CRL,Charles River Laboratories Inte,yfinance
CRM,"Salesforce, Inc.",yfinance
CRWD,"CrowdStrike Holdings, Inc.",yfinance
CSCO,"Cisco Systems, Inc.",yfinance
CSGP,"CoStar Group, Inc.",yfinance
CSX,CSX Corporation,yfinance
CTAS,Cintas Corporation,yfinance
CTSH,Cognizant Technology Solutions,yfinance
CVNA,Carvana Co.,yfinance
CVX,Chevron Corporation,yfinance
DAL,"Delta Air Lines, Inc.",yfinance
DASH,"DoorDash, Inc.",yfinance
DDOG,"Datadog, Inc.",yfinance
DE,Deere & Company,yfinance
DECK,Deckers Outdoor Corporation,yfinance
DELL,Dell Technologies Inc.,yfinance
