strategy,entry_year,n_trades,pnl_usd,win_rate,mean_trade_return,median_trade_return,profit_factor,avg_news_risk,avg_negative_ratio
BASELINE_TECNICO_ALL,2023,127,14839.726867390978,0.44881889763779526,0.014211286156541532,-0.0082687313592967,1.3282025609013943,0.29898833383358,0.1047104447839742
BASELINE_TECNICO_ALL,2024,93,20702.203590980524,0.5483870967741935,0.021223589660114107,0.0132469919145322,1.7392884178178716,0.3879506421071451,0.2244810744810745
BASELINE_TECNICO_ALL,2025,112,20111.945499310234,0.4642857142857143,0.01801687358882859,-0.00783634658100525,1.460850212182052,0.39603641453490995,0.18865613553113555
RF_NEWS_RISK_ADAPTIVE,2023,74,46105.61761372736,0.6756756756756757,0.0595321736948632,0.028411133347600252,4.287594885593273,0.27501465380170326,0.11215418153793504
RF_NEWS_RISK_ADAPTIVE,2024,59,42928.29378717303,0.6271186440677966,0.0597989991399627,0.0356428253844416,3.149386521800521,0.31148010701604867,0.11354313421621114
RF_NEWS_RISK_ADAPTIVE,2025,74,104255.85269628989,0.5540540540540541,0.09509304321238088,0.0375274791116921,4.570067183874174,0.27508409907268455,0.15834336686432957
RF_TOP_30_BASE,2023,77,44749.82587908017,0.6493506493506493,0.05599825098794431,0.0231727429218557,3.6200369410449817,0.3305845824013397,0.18824012662916403
RF_TOP_30_BASE,2024,63,43691.889065708834,0.6349206349206349,0.057245512843522216,0.0356428253844416,3.0087687537236016,0.35575927980187916,0.16706822870615973
RF_TOP_30_BASE,2025,78,106685.58597798269,0.5769230769230769,0.09281113100972752,0.050123493552026804,4.287081010289687,0.3361345883914723,0.20032221958643362
RF_TOP_30_EXCLUDE_NEG_RATIO_50,2023,78,40962.23034664047,0.6153846153846154,0.050718055202507516,0.02126437487359775,3.1818869172780113,0.3046531675588438,0.13303329642233386
RF_TOP_30_EXCLUDE_NEG_RATIO_50,2024,60,41237.94422941889,0.6166666666666667,0.05801992792850328,0.03705938800518295,2.9034782559806778,0.3261308810040582,0.11837663365441144
RF_TOP_30_EXCLUDE_NEG_RATIO_50,2025,77,105134.60106957474,0.5714285714285714,0.09554171573222045,0.0381876022112147,4.568690064773887,0.3047968975525301,0.15620294512634056
RF_TOP_30_EXCLUDE_NEWS_EXTREME,2023,78,40962.23034664047,0.6153846153846154,0.050718055202507516,0.02126437487359775,3.1818869172780113,0.3046531675588438,0.13303329642233386
RF_TOP_30_EXCLUDE_NEWS_EXTREME,2024,59,42881.33440836104,0.6271186440677966,0.061096433701142566,0.0356428253844416,3.184312135634109,0.3175116087970932,0.11740814175768927
RF_TOP_30_EXCLUDE_NEWS_EXTREME,2025,76,101659.71902966526,0.5526315789473685,0.09284730227328444,0.0375274791116921,4.694062350023574,0.28460439122597475,0.1433216347960387
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,2023,76,44917.81461185962,0.618421052631579,0.056913397098149056,0.02126437487359775,3.6760640189595697,0.2571632594986487,0.09766862300475745
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,2024,58,46221.475756407635,0.6379310344827587,0.06512141126972419,0.04393448741214115,3.6345199843951725,0.30542496215968706,0.11003754778264581
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,2025,73,96432.63913102256,0.5205479452054794,0.08940218448755219,0.0186316563179175,4.430795639497716,0.2372285570795238,0.10711511863191704
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,2023,76,44917.81461185962,0.618421052631579,0.056913397098149056,0.02126437487359775,3.6760640189595697,0.2571632594986487,0.09766862300475745
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,2024,58,46221.475756407635,0.6379310344827587,0.06512141126972419,0.04393448741214115,3.6345199843951725,0.30542496215968706,0.11003754778264581
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,2025,73,96432.63913102256,0.5205479452054794,0.08940218448755219,0.0186316563179175,4.430795639497716,0.2372285570795238,0.10711511863191704
